experiment	tube	timepoint	rootID	layerID	segmentID	length_pixel	startDiameter_pixel	endDiameter_pixel	surfaceArea_pixel^2	volume_pixel^3	children	status	statusName
me	T23	1	416	1	4	12.806248474865697	2.6559503078460693	2.6559503078460693	106.85423562224516	70.9498845478925	0	0	LIVING
me	T23	1	420	1	1	15.524174696260024	2.6559503078460693	2.6559503078460693	129.53237820512157	86.00788939576732	0	0	LIVING
me	T23	1	424	1	1	10.0	2.6559503078460693	2.6559503078460693	83.43913975428761	55.40255187703326	1	0	LIVING
me	T23	1	424	1	2	53.14132102234569	2.6559503078460693	2.6559503078460693	443.40661115109646	294.4164794754586	0	0	LIVING
me	T23	1	428	1	1	20.8806130178211	2.6559503078460693	2.6559503078460693	174.2260387749172	115.68392459440896	1	0	LIVING
me	T23	1	428	1	2	14.142135623730951	2.6559503078460693	2.6559503078460693	118.00076307325762	78.35104025457942	1	0	LIVING
me	T23	1	428	1	3	13.152946437965905	2.6559503078460693	2.6559503078460693	109.74705360180965	72.8706797365246	1	0	LIVING
me	T23	1	428	1	4	9.433981132056603	2.6559503078460693	2.6559503078460693	78.71632701169834	52.26666290757189	0	0	LIVING
me	T23	1	432	1	1	22.360679774997898	2.6559503078460693	2.6559503078460693	186.57558847469218	123.88387212400495	0	0	LIVING
me	T23	1	436	1	1	23.769728648009426	2.6559503078460693	2.6559503078460693	198.33257105827525	131.6903624524346	1	0	LIVING
me	T23	1	436	1	2	18.973665961010276	2.6559503078460693	2.6559503078460693	158.3146365771906	105.11895127023722	1	0	LIVING
me	T23	1	436	1	3	22.360679774997898	2.6559503078460693	2.6559503078460693	186.57558847469218	123.88387212400495	1	0	LIVING
me	T23	1	436	1	4	20.808652046684813	2.6559503078460693	2.6559503078460693	173.6256026221677	115.28524245075897	0	0	LIVING
me	T23	1	440	1	1	24.041630560342615	2.6559503078460693	2.6559503078460693	200.60129722453794	133.196768432785	1	0	LIVING
me	T23	1	440	1	2	41.10960958218893	2.6559503078460693	2.6559503078460693	343.0150459172463	227.75772775218059	0	0	LIVING
me	T23	1	444	1	1	48.82622246293481	2.6559503078460693	2.6559503078460693	407.4017999758754	270.5097322962312	0	0	LIVING
me	T23	1	448	1	1	34.058772731852805	2.6559503078460693	2.6559503078460693	284.1834697832586	188.6942923144561	1	0	LIVING
me	T23	1	448	1	2	56.60388679233962	2.6559503078460693	2.6559503078460693	472.29796207019	313.5999774454314	1	0	LIVING
me	T23	1	448	1	3	29.410882339705484	2.6559503078460693	2.6559503078460693	245.4018721839595	162.94379345748544	0	0	LIVING
me	T23	1	452	1	1	31.016124838541646	2.6559503078460693	2.6559503078460693	258.79587750395075	171.83724653918435	1	0	LIVING
me	T23	1	452	1	2	35.608987629529715	2.6559503078460693	2.6559503078460693	297.11832953290286	197.28287844336558	0	0	LIVING
me	T23	1	456	1	1	9.848857801796104	2.6559503078460693	2.6559503078460693	82.1780222544171	54.56518552935324	1	0	LIVING
me	T23	1	456	1	2	26.0	2.6559503078460693	2.6559503078460693	216.9417633611478	144.04663488028652	1	0	LIVING
me	T23	1	456	1	3	25.317977802344327	2.6559503078460693	2.6559503078460693	211.25102881457596	140.26805786159582	1	0	LIVING
me	T23	1	456	1	4	11.045361017187261	2.6559503078460693	2.6559503078460693	92.16154215496482	61.19411867552782	1	0	LIVING
me	T23	1	456	1	5	10.295630140987	2.6559503078460693	2.6559503078460693	85.90585221922701	57.04041829927795	1	0	LIVING
me	T23	1	456	1	6	13.341664064126334	2.6559503078460693	2.6559503078460693	111.3216972401394	73.91622354387097	0	0	LIVING
me	T23	1	460	1	1	14.035668847618199	2.6559503078460693	2.6559503078460693	117.11241345213159	77.7611871459027	1	0	LIVING
me	T23	1	460	1	2	9.219544457292887	2.6559503078460693	2.6559503078460693	76.92708584429289	51.07862900777837	1	0	LIVING
me	T23	1	460	1	3	27.073972741361768	2.6559503078460693	2.6559503078460693	225.90289952702577	149.99671793206798	0	0	LIVING
me	T23	1	464	1	1	17.4928556845359	2.6559503078460693	2.6559503078460693	145.95888301635753	96.91488445399564	1	0	LIVING
me	T23	1	464	1	2	16.0312195418814	2.6559503078460693	2.6559503078460693	133.76311677867085	88.81704723211936	0	0	LIVING
me	T23	1	468	1	1	36.24913792078372	2.6559503078460693	2.6559503078460693	302.4596884944719	200.82947441539537	1	0	LIVING
me	T23	1	468	1	2	49.01020301937138	2.6559503078460693	2.6559503078460693	408.93691791193373	271.52903152846557	0	0	LIVING
me	T23	1	472	1	1	30.870698080866262	2.6559503078460693	2.6559503078460693	257.58244914818187	171.03154519054246	1	0	LIVING
me	T23	1	472	1	2	21.213203435596427	2.6559503078460693	2.6559503078460693	177.00114460988644	117.52656038186912	1	0	LIVING
me	T23	1	472	1	3	43.08131845707603	2.6559503078460693	2.6559503078460693	359.46681515389366	238.68149807491451	0	0	LIVING
me	T23	1	476	1	1	56.302753041036986	2.6559503078460693	2.6559503078460693	469.7853279542227	311.9316196175844	0	0	LIVING
me	T23	4	180	2	1	68.24954212300622	8.356422424316406	9.6972074508667	1935.553263877318	4375.789487740232	1	0	LIVING
me	T23	4	180	2	2	93.53608929178085	9.6972074508667	7.805590629577637	2571.7501230990524	5648.22073873313	1	0	LIVING
me	T23	4	180	2	3	37.12142238654117	7.805590629577637	7.015637397766113	864.2775998246544	1602.6324094984104	1	0	LIVING
me	T23	4	180	2	4	36.68787265568828	7.015637397766113	8.044711112976074	868.000821063555	1636.4315671535205	1	0	LIVING
me	T23	4	180	2	5	18.0	8.044711112976074	6.703926086425781	417.2970117650699	770.9051343983239	1	0	LIVING
me	T23	4	180	2	6	39.92492955535426	6.703926086425781	6.703926086425781	840.8591387271867	1409.2643596128692	1	0	LIVING
me	T23	4	180	2	7	31.304951684997057	6.703926086425781	5.363141059875488	593.5184237632199	898.7314508183539	1	0	LIVING
me	T23	4	180	2	8	21.2602916254693	5.363141059875488	6.703926086425781	403.18709892478137	610.36007752526	1	0	LIVING
me	T23	4	180	2	9	22.47220505424423	6.703926086425781	6.703926086425781	473.28722173483294	793.2206272512125	1	0	LIVING
me	T23	4	180	2	10	27.313000567495326	6.703926086425781	6.703926086425781	575.2392399690359	964.0903235781725	1	0	LIVING
me	T23	4	180	2	11	39.56008088970496	6.703926086425781	5.363141059875488	749.9652268958816	1135.7273204013673	1	0	LIVING
